# SO DO LO — moi lo mot dong, ghi NGAY sau khi soat xong, truoc khi commit.
#
# Cau hoi can tra loi (chot 29/07/2026): so luong loi noi dung tu bat duoc co
# GIAM khi lo to len khong? Neu co thi tran cong lo phai ha, vi cua may KHONG
# kiem noi dung — xem git log quanh 29/07 muc "p/p cua co lo".
#
# 🔴 MOI LO SOAN O OPUS MUC HIGH — chot 05/08/2026, DUNG doi muc. Bang nay chi
# so sanh duoc khi mot bien duy nhat thay doi; tron muc reasoning vao thi cot
# `nguonsai` mat nghia (khong con biet so tut la do lo kho hon hay do muc thap
# hon). Extrahigh dot 80% han muc mot phien ma khong mua them gi do duoc o day.
#
# Vi sao phai ghi tay: `soat`/`dodai` do duoc px va o do, nhung "so loi tu bat"
# thi khong may nao dem duoc — no nam trong bao cao cua agent. Bo trong = khong
# ro, KHAC voi 0 = da ra soat ky ma khong thay loi nao.
#
# lo            ma lo
# tu            so tu trong lo
# docbangmat    so muc trong danh sach "PHAI DOC BANG MAT" cua `soat`
# loitubat      loi NOI DUNG agent tu doc lai roi tu sua (khong cua may nao bat)
# loimaybat     loi do cua `soat`/`dodai` bat (cau truc, trong am lech, qua tran)
# nguonsai      lan agent BAC du lieu tu dien sai thay vi chep theo
# caotb         cao trung binh (px), tu `dodai`
# odotb         so o do trung binh, tu `dodai`
# ngay          ngay chay
#
lo	tu	docbangmat	loitubat	loimaybat	nguonsai	caotb	odotb	ngay
k13	4	19	3	0	0	434	1.5	2026-07-29
k53	14	48	1	0	0	403	0.4	2026-07-29
k54	19	87	0	0	2	468	1.5	2026-07-29
k51	20	62	0	1	0	417	1.1	2026-07-29
k52	21	78	0	0	2	396	0.9	2026-07-29
k55	19	47	2	0	3	395	1.1	2026-07-30
k01	15	93	1	0	5	489	1.9	2026-07-30
k03	6	46	2	0	3	530	2.0	2026-07-30
k02	14	91	1	0	2	489	1.6	2026-07-30
k04	15	44	4	0	2	435	1.0	2026-07-30
k06	4	28	2	0	3	581	2.0	2026-07-30
k05	15	68	3	2	5	468	1.7	2026-07-30
k07	15	44	4	2	2	430	0.8	2026-07-30
k08	15	41	2	1	2	463	1.3	2026-07-30
k59	13	42	1		4	524	0.8	2026-07-30
k60	14	75	1		6	550	1.3	2026-07-30
k18	8	66	4	0	1	458	1.9	2026-08-02
k19	14	64	2	1	3	423	1.4	2026-08-02
k17	14	44	2	0	2	425	1.0	2026-08-02
k20	17	26	3	1	1	326	0.2	2026-08-02
k21	21	71	5	1	5	400	1.3	2026-08-02
k24	17	44	2	1	2	372	0.8	2026-08-02
k22	20	70	2	2	3	424	1.0	2026-08-02
k25	14	42	2	0	2	403	1.6	2026-08-02
k23	17	45	5	0	11	401	1.0	2026-08-02
k26	18	52	2	1	5	405	0.3	2026-08-02
k27	13	58	8	0	2	443	0.9	2026-08-02
k28	21	78	9	0	5	434	1.2	2026-08-02
k29	17	52	3	0	2	316	0.5	2026-08-03
k30	21	60	13	0	1	378	0.3	2026-08-03
k31	7	37	1	0	3	440	1.3	2026-08-03
k62	16	46	2	0	3	469	0.9	2026-08-03
k64	15	61	5	0	4	431	1.4	2026-08-03
k63	16	70	7	0	7	477	1.3	2026-08-03
k32	12	32	3	0	4	359	1.5	2026-08-04
k34	20	62	9	0	4	400	1.1	2026-08-04
k65	16	64	6	0	4	433	1.2	2026-08-04
k33	21	60	6	0	6	397	0.4	2026-08-04
k35	15	19	3	0	3	384	0.4	2026-08-04
k36	15	42	3	0	6	408	0.9	2026-08-04
k37	17	33	2	0	8	375	0.7	2026-08-04
k66	4	27	0	0	2	476	1.8	2026-08-05
k38	16	30	4	2	2	406	1.2	2026-08-05
k39	16	28	2	0	1	391	1.2	2026-08-05
k41	18	110	4	0	5	471	1.1	2026-08-05
k40	19	103	5	0	10	425	0.7	2026-08-05
k42	18	74	6	0	9	432	1.2	2026-08-05
k44	11	39	5	0	3	402	0.5	2026-08-07
k43	18	67	6	0	7	370	1.0	2026-08-07
k45	21	77	6	0	3	405	1.0	2026-08-07
k46	21	70	6	0	1	391	0.6	2026-08-07
k09	15	40	8	1	0	428	0.6	2026-08-07
k10	15	39	2	0	2	419	0.9	2026-08-07
k11	15	29	2	0	3	397	0.7	2026-08-07
k47	20	50	9	0	2	368	0.6	2026-08-07
k16	14	49	8	0	0	401	1.4	2026-08-08
k15	7	26	5	0	3	419	1.1	2026-08-08
