rank	bare	accented	plural	plural_clean	gender	kind	level	en
1	человек	челове'к	лю'ди	люди	m	thay-goc	A1	person, people; man
3	время	вре'мя	времена'	времена	n	ена	A2	time, times, tense
8	глаз	глаз	глаза'	глаза	m	a-я	A2	eye
13	друг	друг	друзья'	друзья	m	ья	A2	friend
14	дом	дом	дома'	дома	m	a-я	A1	house, home, house-hold
23	город	го'род	города'	города	m	a-я	A2	town
24	голос	го'лос	голоса'	голоса	m	a-я	B1	voice, part, vote
36	ребёнок	ребёнок	де'ти	дети	m	thay-goc	A2	child, kid
49	жена	жена'	жёны	жёны	f	e-yo	A2	wife, woman
52	мать	мать	ма'тери	матери	f	ер	A2	mother
57	вечер	ве'чер	вечера'	вечера	m	a-я	B1	evening
60	плечо	плечо'	пле'чи	плечи	n	o-i	B1	shoulder, upper arm, humerus, arm
67	имя	и'мя	имена'	имена	n	ена	B1	name, first name; reputation; noun
71	лес	лес	леса'	леса	m	еса	B1	wood, forest; timber, lumber
73	сын	сын	сыновья'	сыновья	m	ья	A2	son
94	небо	не'бо	небеса'	небеса	n	еса	B1	sky, heaven
98	брат	брат	бра'тья	братья	m	ья	A2	brother
103	хозяин	хозя'ин	хозя'ева	хозяева	m	ева	B1	master, boss, owner, proprietor, host, landlord, man, husband
112	ухо	у'хо	у'ши	уши	n	thay-goc	B1	ear
115	берег	бе'рег	берега'	берега	m	a-я	B1	bank, shore, coast, beach
126	муж	муж	мужья'	мужья	m	ья	A2	husband, man
134	дерево	де'рево	дере'вья	деревья	n	ья	B1	tree, wood
137	снег	снег	снега'	снега	m	a-я	A2	snow
154	век	век	века'	века	m	a-я	B1	century, age, lifetime, for ages, always
155	номер	но'мер	номера'	номера	m	a-я	B1	number, size, room, issue, item on the programme, turn, trick
162	край	край	края'	края	m	a-я	B1	border, edge, brim, brink, side, land, country, krai, territory
175	господин	господи'н	господа'	господа	m	a-я	B1	gentleman, Monsieur, Signor, Herr, the master
194	директор	дире'ктор	директора'	директора	m	a-я	B1	director, manager, head, principal, head master, head mistress
212	колено	коле'но	коле'ни	колени	n	o-i	B1	knee, elbow, joint, node, bend, generation, tribe, figure, part of a piece of music or a song
216	доктор	до'ктор	доктора'	доктора	m	a-я	B1	doctor of Philosophy, doctor, physician
220	счёт	счёт	счета'	счета	m	a-я	A1	bill; check; account
238	профессор	профе'ссор	профессора'	профессора	m	a-я	B2	professor
255	слеза	слеза'	слёзы	слёзы	f	e-yo	B2	tear
281	лист	лист	ли'стья	листья	m	ья	B2	leaf
282	стекло	стекло'	стёкла	стёкла	n	e-yo	B2	glass, glassware; pane, window
293	дочь	дочь	до'чери	дочери	f	ер	B2	daughter
301	рост	рост	роста'	роста	m	a-я	B2	growth (in a living organism); growth (in quantity, prices, etc); height
304	звезда	звезда'	звёзды	звёзды	f	e-yo	B2	star; famous person; name of service module on the International Space Station
305	поезд	по'езд	поезда'	поезда	m	a-я	B2	train
306	сестра	сестра'	сёстры	сёстры	f	e-yo	A2	sister; nurse
308	цветок	цвето'к	цветы'	цветы	m	khac	B2	flower, blossom
312	сосед	сосе'д	сосе'ди	соседи	m	khac	B2	neighbour
334	гражданин	граждани'н	гра'ждане	граждане	m	ане	B2	citizen
